country,country_name,region,quarter,year,quarter_num,unemp,cpi,ipi,cci,gdp_growth,period,cpi_yoy,ipi_yoy,cpi_qoq,high_inflation,high_unemp,trend,is_turkiye,group
POL,Poland,Europe,2008Q1,2008,1,7.533333333333334,85.79568333333333,77.66403000000001,0.9666666666666668,6.080163955,GFC 2008-09,4.184513985956806,9.299282901995443,1.4762541503274162,0,1,13,0,Other OECD
POL,Poland,Europe,2008Q2,2008,2,7.133333333333333,86.93528333333332,75.5235,3.4333333333333336,5.252010044,GFC 2008-09,4.262926813784396,6.078434943658517,1.328271954630189,0,1,14,0,Other OECD
POL,Poland,Europe,2008Q3,2008,3,6.8,87.12522333333334,73.61563333333334,1.0666666666666669,3.467984069,GFC 2008-09,4.626909303603077,0.95724445253067,0.21848436298497198,0,1,15,0,Other OECD
POL,Poland,Europe,2008Q4,2008,4,6.8,87.58648666666666,70.45137,-1.8333333333333333,2.294976398,GFC 2008-09,3.5943562170776877,-5.197247342232847,0.5294257112760103,0,1,16,0,Other OECD
POL,Poland,Europe,2009Q1,2009,1,7.533333333333334,88.75322,69.56724,-13.6,1.922769697,GFC 2008-09,3.447185862692015,-10.425405428999767,1.3320928578556268,0,1,17,0,Other OECD
POL,Poland,Europe,2009Q2,2009,2,7.933333333333334,90.48975666666666,70.59097333333334,-11.066666666666668,1.603504118,GFC 2008-09,4.088642950301935,-6.531115039248259,1.95659004447013,0,1,18,0,Other OECD
POL,Poland,Europe,2009Q3,2009,3,8.366666666666667,90.62542333333332,72.35923666666666,-9.466666666666669,2.340305095,GFC 2008-09,4.0174358998295245,-1.7066981696369887,0.1499248883676474,0,1,19,0,Other OECD
POL,Poland,Europe,2009Q4,2009,4,8.733333333333333,90.76109,73.94136666666667,-9.1,3.898853109,GFC 2008-09,3.624535535276263,4.9537669269833495,0.14970045013491529,0,1,20,0,Other OECD
POL,Poland,Europe,2010Q1,2010,1,10.3,91.60222333333331,77.52442333333333,-7.233333333333333,2.340055216,Normal,3.2100281356927773,11.438118478371905,0.9267554337804018,0,1,21,0,Other OECD
POL,Poland,Europe,2010Q2,2010,2,10.0,92.47049333333332,80.59562666666666,-7.166666666666667,3.62230121,Normal,2.188907053826017,14.172709145248575,0.9478700062120149,0,1,22,0,Other OECD
POL,Poland,Europe,2010Q3,2010,3,9.8,92.47049333333332,81.43322666666667,-7.7,4.06000948,Normal,2.0359297999785086,12.54019585889312,0.0,0,1,23,0,Other OECD
POL,Poland,Europe,2010Q4,2010,4,9.8,93.39302333333336,82.50349,-11.166666666666666,3.146122017,Normal,2.899847647635534,11.57961195379582,0.9976479704445262,0,1,24,0,Other OECD
POL,Poland,Europe,2011Q1,2011,1,9.733333333333333,95.23809666666666,84.73708333333333,-12.433333333333332,5.40263249,Normal,3.9691976908712068,9.303726090276832,1.975600818433687,0,1,25,0,Other OECD
POL,Poland,Europe,2011Q2,2011,2,9.9,96.62189333333332,85.24895,-15.5,5.154063122,Normal,4.4894320883908545,5.773667289143236,1.4529864782051982,0,1,26,0,Other OECD
POL,Poland,Europe,2011Q3,2011,3,10.0,96.24203333333332,87.71522,-11.633333333333333,5.188506779,Normal,4.078641590463383,7.714287632304706,-0.3931407126224751,0,1,27,0,Other OECD
POL,Poland,Europe,2011Q4,2011,4,10.2,97.51729333333331,90.50721333333333,-14.533333333333331,5.351242205,Normal,4.416036501227549,9.701072443521275,1.325055130104258,0,1,28,0,Other OECD
POL,Poland,Europe,2012Q1,2012,1,10.2,99.09103333333331,87.99441999999999,-15.8,3.527806039,Normal,4.045583439316225,3.8440509615526475,1.6138060709095514,0,1,29,0,Other OECD
POL,Poland,Europe,2012Q2,2012,2,10.3,100.2849,89.01814999999999,-17.0,2.150434335,Normal,3.7910731618865823,4.421403430775395,1.2048180612373116,0,1,30,0,Other OECD
POL,Poland,Europe,2012Q3,2012,3,10.5,99.76936666666668,89.01814666666667,-14.666666666666666,1.018041564,Normal,3.665065264276457,1.4854054594706234,-0.5140687514603948,0,1,31,0,Other OECD
POL,Poland,Europe,2012Q4,2012,4,10.566666666666666,100.2035,87.43602,-17.766666666666666,-0.114985456,Normal,2.75459518496346,-3.3933133285435346,0.43513690407976924,0,1,32,0,Other OECD
POL,Poland,Europe,2013Q1,2013,1,10.933333333333332,100.42056666666667,87.29641666666667,-17.533333333333335,-0.433648055,Normal,1.3417292045597495,-0.7932359044281689,0.21662583309631778,0,1,33,0,Other OECD
POL,Poland,Europe,2013Q2,2013,2,10.866666666666667,100.88183333333332,90.27454666666668,-15.1,0.44002965,Normal,0.595237501691015,1.4113938187512165,0.4593348573681766,0,1,34,0,Other OECD
POL,Poland,Europe,2013Q3,2013,3,10.433333333333334,100.99036666666666,92.97348,-10.6,1.078715014,Normal,1.223822542724351,4.4432887916036945,0.10758461632505156,0,1,35,0,Other OECD
POL,Poland,Europe,2013Q4,2013,4,10.2,101.0175,93.06654333333334,-11.166666666666666,1.84723596,Normal,0.8123468741111806,6.439592439515596,0.026867249054451925,0,1,36,0,Other OECD
POL,Poland,Europe,2014Q1,2014,1,10.266666666666667,101.1803,93.99720666666668,-10.366666666666667,3.434210682,Normal,0.7565515297829117,7.675904986554438,0.16116019501573042,0,1,37,0,Other OECD
POL,Poland,Europe,2014Q2,2014,2,9.5,101.20743333333331,94.36947,-7.566666666666666,3.777569558,Normal,0.3227538489751103,4.536077426623453,0.02681681447209705,0,1,38,0,Other OECD
POL,Poland,Europe,2014Q3,2014,3,8.666666666666666,100.74616666666668,95.39320666666669,-8.433333333333334,3.908460868,Normal,-0.2418052414900118,2.6025987912539073,-0.45576362474031296,0,1,39,0,Other OECD
POL,Poland,Europe,2014Q4,2014,4,8.4,100.39343333333332,96.60307,-5.966666666666666,4.145737587,Normal,-0.6177807475602481,3.799997872490013,-0.3501208482705187,0,1,40,0,Other OECD
POL,Poland,Europe,2015Q1,2015,1,8.266666666666667,99.9593,99.67428,-7.2,4.485242549,Normal,-1.2067566512453554,6.039619191520629,-0.43243200169464924,0,1,41,0,Other OECD
POL,Poland,Europe,2015Q2,2015,2,7.733333333333333,100.4477,98.37133666666666,-4.133333333333334,3.919448549,Normal,-0.7506694995723096,4.240637005449588,0.48859885973591144,0,1,42,0,Other OECD
POL,Poland,Europe,2015Q3,2015,3,7.466666666666666,99.98643333333332,100.09309,-6.5,4.390824509,Normal,-0.7541064424287702,4.926853281865418,-0.45921078000459303,0,1,43,0,Other OECD
POL,Poland,Europe,2015Q4,2015,4,7.166666666666667,99.60656666666668,102.28016666666667,-3.466666666666667,4.390101178,Normal,-0.7837830030715587,5.876724897735319,-0.37991820890365124,0,1,44,0,Other OECD
POL,Poland,Europe,2016Q1,2016,1,6.7,98.95536666666668,102.97816666666668,-3.1,2.537686234,Normal,-1.0043421005682562,3.314683252958228,-0.6537721575920252,0,1,45,0,Other OECD
POL,Poland,Europe,2016Q2,2016,2,6.433333333333334,99.41663333333334,104.09496666666666,-0.7666666666666666,3.456583009,Normal,-1.0264711553043648,5.818392017376617,0.4661360795321423,0,0,46,0,Other OECD
POL,Poland,Europe,2016Q3,2016,3,6.2,99.11816666666668,104.46723333333334,-0.1999999999999999,2.787347789,Normal,-0.8683844774940885,4.37007523030144,-0.3002180386313502,0,0,47,0,Other OECD
POL,Poland,Europe,2016Q4,2016,4,5.7,99.85076666666669,106.04936666666669,-1.2333333333333332,3.953992899,Normal,0.24516455909702195,3.685171937863485,0.7391177870185395,0,0,48,0,Other OECD
POL,Poland,Europe,2017Q1,2017,1,5.166666666666667,100.96323333333332,109.7255,-0.6666666666666666,5.28775774,Normal,2.029062934434056,6.552197957819517,1.1141293189870005,0,0,49,0,Other OECD
POL,Poland,Europe,2017Q2,2017,2,5.166666666666667,101.28883333333334,110.84226666666666,-0.1666666666666666,4.8589483,Normal,1.8831858786876543,6.481869600483403,0.3224936338211748,0,0,50,0,Other OECD
POL,Poland,Europe,2017Q3,2017,3,4.866666666666667,101.0989,112.84323333333332,0.7000000000000001,5.755372994,Normal,1.9983554982352603,8.017825046896654,-0.18751655743559636,0,0,51,0,Other OECD
POL,Poland,Europe,2017Q4,2017,4,4.566666666666666,102.2385,117.07766666666669,2.066666666666667,5.182817093,Normal,2.3913019529477664,10.39921344807655,1.1272130557305804,0,0,52,0,Other OECD
POL,Poland,Europe,2018Q1,2018,1,3.933333333333333,102.69976666666666,115.82126666666666,2.766666666666667,6.030432641,Normal,1.7199660470461842,5.555469482177489,0.4511672869483174,0,0,53,0,Other OECD
POL,Poland,Europe,2018Q2,2018,2,3.766666666666667,103.24243333333334,118.56673333333332,5.2,6.501606972,Normal,1.9287417336231405,6.968881906661339,0.5284010706937847,0,0,54,0,Other OECD
POL,Poland,Europe,2018Q3,2018,3,3.9333333333333336,103.2153,120.00926666666668,3.7000000000000006,6.273551179,Normal,2.093395674928211,6.350432473133116,-0.02628118347979269,0,0,55,0,Other OECD
POL,Poland,Europe,2018Q4,2018,4,3.9333333333333336,103.7851,120.98646666666669,2.4,5.754906034,Normal,1.5127373738855754,3.338638453676057,0.552049938332777,0,0,56,0,Other OECD
POL,Poland,Europe,2019Q1,2019,1,3.6,103.92076666666668,123.5458,4.566666666666666,5.297443287,Normal,1.188902409060999,6.669356635137258,0.13071882829682746,0,0,57,0,Other OECD
POL,Poland,Europe,2019Q2,2019,2,3.3000000000000003,105.68443333333336,123.73193333333334,4.4,4.699224851,Normal,2.3653065131811424,4.3563652761511085,1.6971263042388607,0,0,58,0,Other OECD
POL,Poland,Europe,2019Q3,2019,3,3.1333333333333333,105.9829,123.17353333333334,5.766666666666667,4.168728963,Normal,2.681385414759241,2.6366852781924077,0.28241308322605185,0,0,59,0,Other OECD
POL,Poland,Europe,2019Q4,2019,4,2.966666666666667,106.5527,124.98833333333334,1.8666666666666665,3.986145292,Normal,2.6666640972548006,3.307697775563878,0.5376339013180464,0,0,60,0,Other OECD
POL,Poland,Europe,2020Q1,2020,1,2.8666666666666667,108.6691,124.89526666666669,0.7666666666666666,2.946165231,COVID-19 2020,4.569186203719933,1.0922804876140502,1.9862471809724225,0,0,61,0,Other OECD
POL,Poland,Europe,2020Q2,2020,2,3.266666666666667,109.04896666666669,103.58306,-22.0,-7.124408028,COVID-19 2020,3.1835656654574995,-16.284295242564706,0.34956272451569514,0,0,62,0,Other OECD
POL,Poland,Europe,2020Q3,2020,3,3.3666666666666667,109.18463333333334,126.7566,-11.466666666666669,-1.781582601,COVID-19 2020,3.0209904931204346,2.908958255642591,0.12440894289382776,0,0,63,0,Other OECD
POL,Poland,Europe,2020Q4,2020,4,3.233333333333333,109.4831,131.87526666666668,-16.266666666666666,-2.390126645,COVID-19 2020,2.750188404423337,5.510060939020978,0.273359590589517,0,0,64,0,Other OECD
POL,Poland,Europe,2021Q1,2021,1,3.766666666666667,111.70803333333332,135.5514,-11.866666666666667,-0.496804705,Recovery 2021-22,2.7965017961254057,8.532055391477321,2.032216235504225,0,0,65,0,Other OECD
POL,Poland,Europe,2021Q2,2021,2,3.6666666666666665,113.7973,137.41273333333334,-6.133333333333333,12.002184641,Recovery 2021-22,4.354313001284726,32.6594651030133,1.8702922290578572,0,0,66,0,Other OECD
POL,Poland,Europe,2021Q3,2021,3,3.1333333333333333,114.9369,139.55326666666667,-4.4,7.256940939,Recovery 2021-22,5.268384836816153,10.095463799649607,1.0014297351518708,0,0,67,0,Other OECD
POL,Poland,Europe,2021Q4,2021,4,2.966666666666667,118.00296666666668,145.83526666666668,-8.5,9.248609117,Recovery 2021-22,7.781901194491825,10.585760584875924,2.66760863279476,0,0,68,0,Other OECD
POL,Poland,Europe,2022Q1,2022,1,2.833333333333333,122.47996666666668,152.53606666666667,-12.266666666666666,10.237659154,Recovery 2021-22,9.642935258908603,12.530056249265353,3.7939724114280704,1,0,69,0,Other OECD
POL,Poland,Europe,2022Q2,2022,2,2.7999999999999994,129.6703,153.6994,-14.566666666666668,6.335890181,Recovery 2021-22,13.948485596758431,11.852370789509559,5.870619929953147,1,0,70,0,Other OECD
POL,Poland,Europe,2022Q3,2022,3,2.966666666666667,133.76743333333334,153.46673333333334,-18.5,4.803569972,Recovery 2021-22,16.38336629344741,9.97000428510213,3.1596543952881584,1,0,71,0,Other OECD
POL,Poland,Europe,2022Q4,2022,4,2.9,138.67856666666668,154.30433333333335,-18.933333333333334,1.141491613,Recovery 2021-22,17.521254409140564,5.807283012019493,3.671396849706565,1,0,72,0,Other OECD
POL,Poland,Europe,2023Q1,2023,1,2.6666666666666665,144.29516666666666,152.76873333333333,-16.0,-1.231013004,Normal,17.81123933465034,0.15253223172135844,4.050085124906322,1,0,73,0,Other OECD
POL,Poland,Europe,2023Q2,2023,2,2.766666666666667,147.0085,150.90740000000002,-8.4,-0.674528945,Normal,13.370987805226031,-1.8165327906289663,1.880404864565799,0,0,74,0,Other OECD
POL,Poland,Europe,2023Q3,2023,3,2.833333333333333,146.49303333333333,151.79153333333332,-4.2,0.660417309,Normal,9.513227310184845,-1.091572071428304,-0.35063732142472936,0,0,75,0,Other OECD
POL,Poland,Europe,2023Q4,2023,4,3.1,147.27986666666666,151.51233333333334,-3.0,1.923457439,Normal,6.202328309806093,-1.8094112716644406,0.5371131414440455,0,0,76,0,Other OECD
POL,Poland,Europe,2024Q1,2024,1,2.9,148.69076666666666,152.07073333333332,1.5333333333333332,2.003007261,Normal,3.0462558805965934,-0.45689977573946106,0.9579720785552137,0,0,77,0,Other OECD
